VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
-1,0,0,1,6,2600,25900.2,0.15,4,6.00009
-1,1,0,2,4,6200,23403.5,0.15,4,4.00296
-1,2,1,0,6,2600,25900.2,0.15,4,6.00009
-1,3,1,5,5,6400,4958.18,0.15,4,7.08205
-1,4,2,0,4,6200,23403.5,0.15,4,4.00296
-1,5,2,3,4,14490.9,17110.5,0.15,4,4.30866
-1,6,2,11,4,9901.73,23403.5,0.15,4,4.01923
-1,7,3,2,4,14501.7,17110.5,0.15,4,4.30958
-1,8,3,4,2,19456.9,17782.8,0.15,4,2.42994
-1,9,3,10,6,5176.45,4908.83,0.15,4,7.11291
-1,10,4,3,2,19478.2,17782.8,0.15,4,2.43183
-1,11,4,5,4,9666.15,4948,0.15,4,12.7387
-1,12,4,8,5,16086.9,10000,0.15,4,10.0229
-1,13,5,1,5,6400,4958.18,0.15,4,7.08205
-1,14,5,4,4,9675.84,4948,0.15,4,12.7738
-1,15,5,7,2,12123.8,4898.59,0.15,4,13.2561
-1,16,6,7,3,12045.3,7841.81,0.15,4,5.5051
-1,17,6,17,2,15920.4,23403.5,0.15,4,2.06424
-1,18,7,5,2,12133.5,4898.59,0.15,4,13.2922
-1,19,7,6,3,12020.4,7841.81,0.15,4,5.48443
-1,20,7,8,10,7167.91,5050.19,0.15,4,16.0874
-1,21,7,15,5,8331.32,5045.82,0.15,4,10.5743
-1,22,8,4,5,16098.6,10000,0.15,4,10.0375
-1,23,8,7,10,7127.97,5050.19,0.15,4,15.9528
-1,24,8,9,3,21759,13915.8,0.15,4,5.68989
-1,25,9,8,3,21830.7,13915.8,0.15,4,5.72552
-1,26,9,10,5,17796.8,10000,0.15,4,12.5237
-1,27,9,14,6,23093.2,13512,0.15,4,13.6789
-1,28,9,15,4,11180,4854.92,0.15,4,20.8728
-1,29,9,16,8,8100,4993.51,0.15,4,16.308
-1,30,10,3,6,5265.92,4908.83,0.15,4,7.19187
-1,31,10,9,5,17680.2,10000,0.15,4,12.3285
-1,32,10,11,6,8466.64,4908.83,0.15,4,13.9648
-1,33,10,13,4,9768.64,4876.51,0.15,4,13.6617
-1,34,11,2,4,9890.93,23403.5,0.15,4,4.01914
-1,35,11,10,6,8506.36,4908.83,0.15,4,14.1153
-1,36,11,12,3,12268.4,25900.2,0.15,4,3.02265
-1,37,12,11,3,12397.3,25900.2,0.15,4,3.02362
-1,38,12,23,4,11106.5,5091.26,0.15,4,17.588
-1,39,13,10,4,9801.8,4876.51,0.15,4,13.7935
-1,40,13,14,5,9070.3,5127.53,0.15,4,12.3437
-1,41,13,22,4,8420.55,4924.79,0.15,4,9.12816
-1,42,14,9,6,23161.3,13512,0.15,4,13.7698
-1,43,14,13,5,9114.92,5127.53,0.15,4,12.4893
-1,44,14,18,3,19764.6,14564.8,0.15,4,4.52599
-1,45,14,21,3,18454.5,9599.18,0.15,4,9.14734
-1,46,15,7,5,8356.03,5045.82,0.15,4,10.6407
-1,47,15,9,4,11200.2,4854.92,0.15,4,20.9951
-1,48,15,16,2,11827.2,5229.91,0.15,4,9.84651
-1,49,15,17,3,14822.5,19679.9,0.15,4,3.14481
-1,50,16,9,8,8100,4993.51,0.15,4,16.308
-1,51,16,15,2,11803.1,5229.91,0.15,4,9.78254
-1,52,16,18,2,9896.95,4823.95,0.15,4,7.31515
-1,53,17,6,2,15945.3,23403.5,0.15,4,2.06465
-1,54,17,15,3,14891.6,19679.9,0.15,4,3.14753
-1,55,17,19,4,19234.8,23403.5,0.15,4,4.27376
-1,56,18,14,3,19799.5,14564.8,0.15,4,4.53681
-1,57,18,16,2,9872.77,4823.95,0.15,4,7.2634
-1,58,18,19,4,8921.78,5002.61,0.15,4,10.0698
-1,59,19,17,4,19228.8,23403.5,0.15,4,4.27342
-1,60,19,18,4,8932.52,5002.61,0.15,4,10.099
-1,61,19,20,6,6233,5059.91,0.15,4,8.07233
-1,62,19,21,5,7023.55,5075.7,0.15,4,7.74983
-1,63,20,19,6,6127.23,5059.91,0.15,4,7.93521
-1,64,20,21,2,8713.96,5229.91,0.15,4,4.3121
-1,65,20,23,3,10319.8,4885.36,0.15,4,11.9599
-1,66,21,14,3,18432.3,9599.18,0.15,4,9.11779
-1,67,21,19,5,7034.08,5075.7,0.15,4,7.76635
-1,68,21,20,2,8682.99,5229.91,0.15,4,4.27941
-1,69,21,22,4,9694.08,5000,0.15,4,12.4781
-1,70,22,13,4,8409.09,4924.79,0.15,4,9.10029
-1,71,22,21,4,9651.43,5000,0.15,4,12.3298
-1,72,22,23,2,7915.64,5078.51,0.15,4,3.7706
-1,73,23,12,4,11135.4,5091.26,0.15,4,17.7301
-1,74,23,20,3,10244.9,4885.36,0.15,4,11.7029
-1,75,23,22,2,7861.52,5078.51,0.15,4,3.72267
1,0,0,1,6,8800,25900.2,0.15,4,6.01199
1,1,0,2,4,3.26188e-06,1e-06,0.15,4,71.9236
1,2,1,0,6,3424.47,25900.2,0.15,4,6.00028
1,3,1,5,5,12600,4958.18,0.15,4,36.2791
1,4,2,0,4,5375.53,23403.5,0.15,4,4.00167
1,5,2,3,4,9732.74,17110.5,0.15,4,4.06281
1,6,2,11,4,8294.54,23403.5,0.15,4,4.00947
1,7,3,2,4,14170.1,17110.5,0.15,4,4.28222
1,8,3,4,2,15976.4,17782.8,0.15,4,2.19545
1,9,3,10,6,5100,4908.83,0.15,4,7.04861
1,10,4,3,2,20370.1,17782.8,0.15,4,2.51652
1,11,4,5,4,8452.77,4948,0.15,4,9.11012
1,12,4,8,5,15759.4,10000,0.15,4,9.62621
1,13,5,1,5,7224.47,4958.18,0.15,4,8.38062
1,14,5,4,4,11589.1,4948,0.15,4,22.0566
1,15,5,7,2,13063.1,4898.59,0.15,4,17.1712
1,16,6,7,3,12144.5,7841.81,0.15,4,5.5886
1,17,6,17,2,17236.7,23403.5,0.15,4,2.08827
1,18,7,5,2,10823.9,4898.59,0.15,4,9.15107
1,19,7,6,3,13336.7,7841.81,0.15,4,6.76483
1,20,7,8,10,8094.06,5050.19,0.15,4,19.8975
1,21,7,15,5,8172.21,5045.82,0.15,4,10.1605
1,22,8,4,5,17016.8,10000,0.15,4,11.2888
1,23,8,7,10,7345.87,5050.19,0.15,4,16.7148
1,24,8,9,3,21213.6,13915.8,0.15,4,5.43017
1,25,9,8,3,21822.7,13915.8,0.15,4,5.72154
1,26,9,10,5,18082.5,10000,0.15,4,13.0186
1,27,9,14,6,22661.1,13512,0.15,4,13.1201
1,28,9,15,4,11263.8,4854.92,0.15,4,21.3843
1,29,9,16,8,7700,4993.51,0.15,4,14.7845
1,30,10,3,6,5243.67,4908.83,0.15,4,7.17185
1,31,10,9,5,17611.9,10000,0.15,4,12.2158
1,32,10,11,6,8676.62,4908.83,0.15,4,14.7849
1,33,10,13,4,9621.97,4876.51,0.15,4,13.0944
1,34,11,2,4,9232.74,23403.5,0.15,4,4.01453
1,35,11,10,6,8233.22,4908.83,0.15,4,13.1221
1,36,11,12,3,12309.3,25900.2,0.15,4,3.02296
1,37,12,11,3,12904.1,25900.2,0.15,4,3.02773
1,38,12,23,4,10844.3,5091.26,0.15,4,16.3496
1,39,13,10,4,9838.4,4876.51,0.15,4,13.9406
1,40,13,14,5,9044.89,5127.53,0.15,4,12.2618
1,41,13,22,4,8456.55,4924.79,0.15,4,9.21643
1,42,14,9,6,23251,13512,0.15,4,13.891
1,43,14,13,5,9254.26,5127.53,0.15,4,12.9578
1,44,14,18,3,20077.5,14564.8,0.15,4,4.62495
1,45,14,21,3,18435.5,9599.18,0.15,4,9.12209
1,46,15,7,5,7873.45,5045.82,0.15,4,9.44626
1,47,15,9,4,11607.1,4854.92,0.15,4,23.6027
1,48,15,16,2,11948.3,5229.91,0.15,4,10.1728
1,49,15,17,3,14574.1,19679.9,0.15,4,3.13535
1,50,16,9,8,7746.46,4993.51,0.15,4,14.9498
1,51,16,15,2,11753.5,5229.91,0.15,4,9.65277
1,52,16,18,2,10300,4823.95,0.15,4,8.23532
1,53,17,6,2,16044.5,23403.5,0.15,4,2.06627
1,54,17,15,3,14813.5,19679.9,0.15,4,3.14446
1,55,17,19,4,21110.9,23403.5,0.15,4,4.39724
1,56,18,14,3,20602.1,14564.8,0.15,4,4.80153
1,57,18,16,2,10151.7,4823.95,0.15,4,7.88383
1,58,18,19,4,9296.8,5002.61,0.15,4,11.1565
1,59,19,17,4,20058,23403.5,0.15,4,4.32373
1,60,19,18,4,9673,5002.61,0.15,4,12.3871
1,61,19,20,6,6836.74,5059.91,0.15,4,8.99962
1,62,19,21,5,7800,5075.7,0.15,4,9.1827
1,63,20,19,6,6403.72,5059.91,0.15,4,8.30888
1,64,20,21,2,8465.03,5229.91,0.15,4,4.05901
1,65,20,23,3,10570.2,4885.36,0.15,4,12.8619
1,66,21,14,3,18610.4,9599.18,0.15,4,9.35764
1,67,21,19,5,7456.33,5075.7,0.15,4,8.49285
1,68,21,20,2,8373.72,5229.91,0.15,4,3.9716
1,69,21,22,4,9862.65,5000,0.15,4,13.0833
1,70,22,13,4,8463.61,4924.79,0.15,4,9.23387
1,71,22,21,4,9602.5,5000,0.15,4,12.1622
1,72,22,23,2,7918.38,5078.51,0.15,4,3.77305
1,73,23,12,4,11339.1,5091.26,0.15,4,18.7625
1,74,23,20,3,10228.5,4885.36,0.15,4,11.6472
1,75,23,22,2,7665.29,5078.51,0.15,4,3.557
