VulLink,Origin,Dest,ODIndex,Demand,UECost
-1,0,23,0,100,28.7223
-1,0,22,1,300,32.6436
-1,0,21,2,400,43.6154
-1,0,20,3,100,39.3386
-1,0,19,4,300,38.5713
-1,0,18,5,300,45.4336
-1,0,17,6,100,34.2668
-1,0,16,7,400,43.3997
-1,0,15,8,500,36.7271
-1,0,14,9,500,41.0372
-1,0,13,10,300,29.452
-1,0,12,11,500,11.0574
-1,0,11,12,200,8.02573
-1,0,10,13,500,16.143
-1,0,9,14,1300,27.1577
-1,0,8,15,500,21.249
-1,0,7,16,800,26.5073
-1,0,6,17,500,32.2074
-1,0,5,18,300,13.1567
-1,0,4,19,200,10.8294
-1,0,3,20,500,8.36896
-1,0,2,21,100,4.00285
-1,0,1,22,100,6.0001
-1,1,21,23,100,40.6718
-1,1,19,24,100,32.5712
-1,1,18,25,100,42.4566
-1,1,16,26,200,40.0028
-1,1,15,27,400,30.727
-1,1,14,28,100,46.8737
-1,1,13,29,100,43.0822
-1,1,12,30,300,33.3897
-1,1,11,31,100,30.358
-1,1,10,32,200,29.7732
-1,1,9,33,600,35.8798
-1,1,8,34,200,29.9712
-1,1,7,35,400,20.5072
-1,1,6,36,200,26.2073
-1,1,5,37,400,7.15665
-1,1,4,38,100,19.5515
-1,1,3,39,200,21.9991
-1,1,2,40,100,26.3351
-1,1,0,41,100,6.00011
-1,2,22,42,100,28.6407
-1,2,21,43,100,39.6126
-1,2,16,44,100,39.3969
-1,2,15,45,200,42.9763
-1,2,14,46,100,37.0344
-1,2,13,47,100,25.4492
-1,2,12,48,100,7.05454
-1,2,11,49,200,4.02288
-1,2,10,50,300,12.1401
-1,2,9,51,300,23.1548
-1,2,8,52,100,17.2462
-1,2,7,53,200,32.7566
-1,2,6,54,100,38.4567
-1,2,5,55,300,19.406
-1,2,4,56,100,6.8265
-1,2,3,57,200,4.36611
-1,2,1,58,100,26.6263
-1,2,0,59,100,4.00276
-1,3,23,60,200,29.0555
-1,3,22,61,500,30.1731
-1,3,21,62,400,41.7077
-1,3,20,63,200,39.6718
-1,3,19,64,300,40.4544
-1,3,18,65,200,37.0646
-1,3,17,66,100,36.15
-1,3,16,67,500,35.0308
