VulLink,Origin,Dest,ODIndex,Demand,UECost
-1,0,23,0,100,29.6913
-1,0,22,1,300,35.7794
-1,0,21,2,400,44.2992
-1,0,20,3,100,38.6734
-1,0,19,4,300,40.5779
-1,0,18,5,300,46.5568
-1,0,17,6,100,36.2001
-1,0,16,7,400,47.2423
-1,0,15,8,500,39.5858
-1,0,14,9,500,42.0027
-1,0,13,10,300,37.5824
-1,0,12,11,500,11.1058
-1,0,11,12,200,8.06037
-1,0,10,13,500,21.6468
-1,0,9,14,1300,28.0962
-1,0,8,15,500,21.7434
-1,0,7,16,800,27.4672
-1,0,6,17,500,34.1342
-1,0,5,18,300,13.1355
-1,0,4,19,200,11.0264
-1,0,3,20,500,8.523
-1,0,2,21,100,4.00288
-1,0,1,22,100,6.0001
-1,1,21,23,100,46.5015
-1,1,19,24,100,34.5778
-1,1,18,25,100,46.8532
-1,1,16,26,200,46.3515
-1,1,15,27,400,33.5857
-1,1,14,28,100,51.2855
-1,1,13,29,100,52.0493
-1,1,12,30,300,34.586
-1,1,11,31,100,31.5406
-1,1,10,32,200,36.1138
-1,1,9,33,600,37.5073
-1,1,8,34,200,31.1545
-1,1,7,35,400,21.4671
-1,1,6,36,200,28.1341
-1,1,5,37,400,7.13537
-1,1,4,38,100,20.4375
-1,1,3,39,200,22.99
-1,1,2,40,100,27.4831
-1,1,0,41,100,6.00012
-1,2,22,42,100,31.7765
-1,2,21,43,100,40.2963
-1,2,16,44,100,43.2395
-1,2,15,45,200,47.9164
-1,2,14,46,100,37.9998
-1,2,13,47,100,33.5795
-1,2,12,48,100,7.10294
-1,2,11,49,200,4.05749
-1,2,10,50,300,17.6439
-1,2,9,51,300,24.0933
-1,2,8,52,100,17.7405
-1,2,7,53,200,35.7978
-1,2,6,54,100,42.4648
-1,2,5,55,300,21.4661
-1,2,4,56,100,7.0235
-1,2,3,57,200,4.52012
-1,2,1,58,100,28.7615
-1,2,0,59,100,4.00267
-1,3,23,60,200,30.1816
-1,3,22,61,500,36.2697
-1,3,21,62,400,43.0817
-1,3,20,63,200,39.1637
-1,3,19,64,300,44.3884
-1,3,18,65,200,38.0338
-1,3,17,66,100,40.0106
-1,3,16,67,500,38.7193
-1,3,15,68,800,43.3963
-1,3,14,69,500,33.4797
-1,3,13,70,500,29.0594
-1,3,12,71,600,11.5961
-1,3,11,72,600,8.55063
-1,3,10,73,1400,13.1238
-1,3,9,74,1200,19.5732
-1,3,8,75,700,13.2204
-1,3,7,76,700,31.2777
-1,3,6,77,400,37.9447
-1,3,5,78,400,16.9459
-1,3,4,79,500,2.50338
-1,3,2,80,200,4.49314
-1,3,1,81,200,24.2414
-1,3,0,82,500,8.4958
-1,4,22,83,100,38.8221
-1,4,21,84,200,40.5783
-1,4,20,85,100,41.7161
-1,4,19,86,100,41.885
-1,4,18,87,100,35.5304
-1,4,16,88,200,36.216
-1,4,15,89,500,40.8929
-1,4,14,90,200,30.9763
-1,4,13,91,100,31.6118
-1,4,12,92,200,14.1485
-1,4,11,93,200,11.1031
-1,4,10,94,500,15.6762
-1,4,9,95,1000,17.0698
-1,4,8,96,800,10.717
-1,4,7,97,500,28.7743
-1,4,6,98,200,35.4413
-1,4,5,99,200,14.4426
-1,4,3,100,500,2.55244
-1,4,2,101,100,7.04557
-1,4,1,102,100,21.738
-1,4,0,103,200,11.0482
-1,5,23,104,100,46.0362
-1,5,22,105,100,52.0175
-1,5,21,106,200,39.3661
-1,5,20,107,100,38.3046
-1,5,19,108,300,27.4425
-1,5,18,109,200,39.7178
-1,5,17,110,100,23.0646
-1,5,16,111,500,39.2161
-1,5,15,112,900,26.4503
-1,5,14,113,200,44.1501
-1,5,13,114,100,44.914
-1,5,12,115,200,27.4507
-1,5,11,116,200,24.4052
-1,5,10,117,400,28.9784
-1,5,9,118,800,30.3719
-1,5,8,119,400,24.0192
-1,5,7,120,800,14.3318
-1,5,6,121,400,20.9987
-1,5,4,122,200,13.3022
-1,5,3,123,400,15.8546
-1,5,2,124,300,20.3477
-1,5,1,125,400,7.29545
-1,5,0,126,300,13.2956
-1,6,23,127,100,28.0917
-1,6,22,128,200,31.0188
-1,6,21,129,500,18.3674
-1,6,20,130,200,17.3059
-1,6,19,131,500,6.44372
-1,6,18,132,400,18.7191
-1,6,17,133,200,2.06588
-1,6,16,134,1000,18.2173
-1,6,15,135,1400,5.4516
-1,6,14,136,500,23.1514
-1,6,13,137,200,36.8205
-1,6,12,138,400,47.7054
-1,6,11,139,700,44.6599
-1,6,10,140,500,39.3555
-1,6,9,141,1900,28.0767
-1,6,8,142,600,25.0987
-1,6,7,143,1000,6.58733
-1,6,5,144,400,20.2547
-1,6,4,145,200,33.5569
-1,6,3,146,400,36.1093
-1,6,2,147,100,40.6024
-1,6,1,148,200,27.5502
-1,6,0,149,500,33.5503
-1,7,23,150,200,34.7587
-1,7,22,151,300,37.6858
-1,7,21,152,500,25.0344
-1,7,20,153,400,23.9729
-1,7,19,154,900,13.1107
-1,7,18,155,700,25.386
-1,7,17,156,300,8.73285
-1,7,16,157,1400,24.8843
-1,7,15,158,2200,12.1186
-1,7,14,159,600,29.8183
-1,7,13,160,400,43.4875
-1,7,12,161,600,41.118
-1,7,11,162,600,38.0726
-1,7,10,163,800,36.143
-1,7,9,164,1600,24.8642
-1,7,8,165,800,18.5114
-1,7,6,166,1000,6.66697
-1,7,5,167,800,13.6674
-1,7,4,168,500,26.9695
-1,7,3,169,700,29.522
-1,7,2,170,200,34.0151
