VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
-1,0,0,1,6,2640.59,25900.2,0.15,4,6.0001
-1,1,0,2,4,6159.41,23403.5,0.15,4,4.00288
-1,2,1,0,6,2758.04,25900.2,0.15,4,6.00012
-1,3,1,5,5,6440.59,4958.18,0.15,4,7.13537
-1,4,2,0,4,6041.96,23403.5,0.15,4,4.00267
-1,5,2,3,4,16510.2,17110.5,0.15,4,4.52012
-1,6,2,11,4,13021.1,23403.5,0.15,4,4.05749
-1,7,3,2,4,16291.7,17110.5,0.15,4,4.49314
-1,8,3,4,2,20239.2,17782.8,0.15,4,2.50338
-1,9,3,10,6,8233.7,4908.83,0.15,4,13.1238
-1,10,4,3,2,20715.2,17782.8,0.15,4,2.55244
-1,11,4,5,4,10106.3,4948,0.15,4,14.4426
-1,12,4,8,5,16616,10000,0.15,4,10.717
-1,13,5,1,5,6558.04,4958.18,0.15,4,7.29545
-1,14,5,4,4,9818.32,4948,0.15,4,13.3022
-1,15,5,7,2,12403.6,4898.59,0.15,4,14.3318
-1,16,6,7,3,13176.7,7841.81,0.15,4,6.58733
-1,17,6,17,2,16021.2,23403.5,0.15,4,2.06588
-1,18,7,5,2,12233,4898.59,0.15,4,13.6674
-1,19,7,6,3,13249.2,7841.81,0.15,4,6.66697
-1,20,7,8,10,7794.45,5050.19,0.15,4,18.5114
-1,21,7,15,5,9186.72,5045.82,0.15,4,13.2409
-1,22,8,4,5,17380,10000,0.15,4,11.8433
-1,23,8,7,10,8108.19,5050.19,0.15,4,19.9668
-1,24,8,9,3,22990.9,13915.8,0.15,4,6.35279
-1,25,9,8,3,24168.7,13915.8,0.15,4,7.09441
-1,26,9,10,5,17009.9,10000,0.15,4,11.2787
-1,27,9,14,6,23262.4,13512,0.15,4,13.9065
-1,28,9,15,4,11981.8,4854.92,0.15,4,26.2597
-1,29,9,16,8,8717.5,4993.51,0.15,4,19.1462
-1,30,10,3,6,7639.24,4908.83,0.15,4,11.2788
-1,31,10,9,5,17494.2,10000,0.15,4,12.0248
-1,32,10,11,6,8338.96,4908.83,0.15,4,13.4951
-1,33,10,13,4,10298.7,4876.51,0.15,4,15.9356
-1,34,11,2,4,13122.1,23403.5,0.15,4,4.0593
-1,35,11,10,6,8486.44,4908.83,0.15,4,14.0396
-1,36,11,12,3,14600.4,25900.2,0.15,4,3.04544
-1,37,12,11,3,14948.9,25900.2,0.15,4,3.04994
-1,38,12,23,4,11304.9,5091.26,0.15,4,18.5855
-1,39,13,10,4,10141,4876.51,0.15,4,15.2211
-1,40,13,14,5,9929.79,5127.53,0.15,4,15.5485
-1,41,13,22,4,8320.13,4924.79,0.15,4,8.88788
-1,42,14,9,6,23447,13512,0.15,4,14.1604
-1,43,14,13,5,9454.45,5127.53,0.15,4,13.6691
-1,44,14,18,3,19855.2,14564.8,0.15,4,4.55416
-1,45,14,21,3,18786.7,9599.18,0.15,4,9.60201
-1,46,15,7,5,8774.96,5045.82,0.15,4,11.8599
-1,47,15,9,4,11459.6,4854.92,0.15,4,22.6251
-1,48,15,16,2,12800.4,5229.91,0.15,4,12.7657
-1,49,15,17,3,19098.4,19679.9,0.15,4,3.39912
-1,50,16,9,8,9648.75,4993.51,0.15,4,24.7279
-1,51,16,15,2,12028.9,5229.91,0.15,4,10.3956
-1,52,16,18,2,10486.6,4823.95,0.15,4,8.6996
-1,53,17,6,2,15948.7,23403.5,0.15,4,2.0647
-1,54,17,15,3,18935.9,19679.9,0.15,4,3.38571
-1,55,17,19,4,20848.2,23403.5,0.15,4,4.37784
-1,56,18,14,3,19454,14564.8,0.15,4,4.4323
-1,57,18,16,2,10646.3,4823.95,0.15,4,9.11716
-1,58,18,19,4,9882.11,5002.61,0.15,4,13.1362
-1,59,19,17,4,20513.2,23403.5,0.15,4,4.35413
-1,60,19,18,4,9640.63,5002.61,0.15,4,12.2754
-1,61,19,20,6,7714.18,5059.91,0.15,4,10.8622
-1,62,19,21,5,8847.37,5075.7,0.15,4,11.9237
-1,63,20,19,6,7671.01,5059.91,0.15,4,10.7542
-1,64,20,21,2,9751.32,5229.91,0.15,4,5.62575
-1,65,20,23,3,9963.66,4885.36,0.15,4,10.7858
-1,66,21,14,3,18797.1,9599.18,0.15,4,9.61661
-1,67,21,19,5,8214.06,5075.7,0.15,4,10.1441
-1,68,21,20,2,10343.4,5229.91,0.15,4,6.58988
-1,69,21,22,4,9743.26,5000,0.15,4,12.6514
-1,70,22,13,4,8637.77,4924.79,0.15,4,9.67814
-1,71,22,21,4,9712.42,5000,0.15,4,12.5424
-1,72,22,23,2,9470.64,5078.51,0.15,4,5.62823
-1,73,23,12,4,11553.4,5091.26,0.15,4,19.9107
-1,74,23,20,3,9328.39,4885.36,0.15,4,8.9821
-1,75,23,22,2,9757.44,5078.51,0.15,4,6.08809
48,0,0,1,6,2441.29,25900.2,0.15,4,6.00007
48,1,0,2,4,6358.71,23403.5,0.15,4,4.00327
48,2,1,0,6,2571.65,25900.2,0.15,4,6.00009
48,3,1,5,5,6241.29,4958.18,0.15,4,6.88308
48,4,2,0,4,6228.35,23403.5,0.15,4,4.00301
48,5,2,3,4,18488.8,17110.5,0.15,4,4.81796
48,6,2,11,4,15476.2,23403.5,0.15,4,4.11473
48,7,3,2,4,17541.3,17110.5,0.15,4,4.66274
48,8,3,4,2,22605,17782.8,0.15,4,2.78331
48,9,3,10,6,7770.36,4908.83,0.15,4,11.6506
48,10,4,3,2,21741.6,17782.8,0.15,4,2.67033
48,11,4,5,4,9469.46,4948,0.15,4,12.0489
48,12,4,8,5,19046.6,10000,0.15,4,14.8703
48,13,5,1,5,6371.65,4958.18,0.15,4,7.0454
48,14,5,4,4,9870.08,4948,0.15,4,13.4999
48,15,5,7,2,11630.5,4898.59,0.15,4,11.5329
48,16,6,7,3,14021.4,7841.81,0.15,4,7.59955
48,17,6,17,2,17646.5,23403.5,0.15,4,2.09697
48,18,7,5,2,12161.4,4898.59,0.15,4,13.3966
48,19,7,6,3,13722.8,7841.81,0.15,4,7.22002
48,20,7,8,10,9595.04,5050.19,0.15,4,29.5455
48,21,7,15,5,7686.79,5045.82,0.15,4,9.03937
48,22,8,4,5,17782.6,10000,0.15,4,12.4997
48,23,8,7,10,8393.24,5050.19,0.15,4,21.444
48,24,8,9,3,26465,13915.8,0.15,4,8.88666
48,25,9,8,3,24099.2,13915.8,0.15,4,7.04757
48,26,9,10,5,17904.8,10000,0.15,4,12.708
48,27,9,14,6,24006.1,13512,0.15,4,14.9671
48,28,9,15,4,11827.7,4854.92,0.15,4,25.1359
48,29,9,16,8,10040.1,4993.51,0.15,4,27.6114
48,30,10,3,6,7786.22,4908.83,0.15,4,11.6969
48,31,10,9,5,17535.4,10000,0.15,4,12.0913
48,32,10,11,6,8727.64,4908.83,0.15,4,14.9933
48,33,10,13,4,9886.28,4876.51,0.15,4,14.1355
