RecoverCase,VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
-1,-1,0,0,1,6,12550.5,25900.2,0.15,4,6.04962
-1,-1,1,0,2,4,9543.03,23403.5,0.15,4,4.01659
-1,-1,2,1,0,6,7334.48,25900.2,0.15,4,6.00579
-1,-1,3,1,5,5,12150.1,4958.18,0.15,4,32.0453
-1,-1,4,2,0,4,14759.1,23403.5,0.15,4,4.0949
-1,-1,5,2,3,4,12326.2,17110.5,0.15,4,4.16159
-1,-1,6,2,11,4,9662.29,23403.5,0.15,4,4.01743
-1,-1,7,3,2,4,12288.7,17110.5,0.15,4,4.15963
-1,-1,8,3,4,2,16786.9,17782.8,0.15,4,2.23824
-1,-1,9,3,10,6,3456.89,4908.83,0.15,4,6.22135
-1,-1,10,4,3,2,8247.64,17782.8,0.15,4,2.01388
-1,-1,11,4,5,4,4.05127e-10,1e-10,0.15,4,165.627
-1,-1,12,4,8,5,17875.7,10000,0.15,4,12.6579
-1,-1,13,5,1,5,6934.05,4958.18,0.15,4,7.86892
-1,-1,14,5,4,4,9336.39,4948,0.15,4,11.6059
-1,-1,15,5,7,2,12946.2,4898.59,0.15,4,16.6355
-1,-1,16,6,7,3,14970.3,7841.81,0.15,4,8.97687
-1,-1,17,6,17,2,15509.9,23403.5,0.15,4,2.05787
-1,-1,18,7,5,2,17066.5,4898.59,0.15,4,46.1996
-1,-1,19,7,6,3,13794.9,7841.81,0.15,4,7.30939
-1,-1,20,7,8,10,8705.9,5050.19,0.15,4,23.2469
-1,-1,21,7,15,5,9071.55,5045.82,0.15,4,12.8354
-1,-1,22,8,4,5,3.29255e-10,1e-10,0.15,4,93.1434
-1,-1,23,8,7,10,11243.8,5050.19,0.15,4,46.8565
-1,-1,24,8,9,3,27076.7,13915.8,0.15,4,9.45007
-1,-1,25,9,8,3,11838.9,13915.8,0.15,4,3.23574
-1,-1,26,9,10,5,24602.8,10000,0.15,4,32.4789
-1,-1,27,9,14,6,24980.9,13512,0.15,4,16.5147
-1,-1,28,9,15,4,14417.5,4854.92,0.15,4,50.6639
-1,-1,29,9,16,8,13136.5,4993.51,0.15,4,65.4743
-1,-1,30,10,3,6,12058.6,4908.83,0.15,4,38.7732
-1,-1,31,10,9,5,20830.4,10000,0.15,4,19.1204
-1,-1,32,10,11,6,12087.4,4908.83,0.15,4,39.0872
-1,-1,33,10,13,4,3.29207e-10,1e-10,0.15,4,74.4738
-1,-1,34,11,2,4,14915.9,23403.5,0.15,4,4.099
-1,-1,35,11,10,6,8297.73,4908.83,0.15,4,13.348
-1,-1,36,11,12,3,15347.3,25900.2,0.15,4,3.05548
-1,-1,37,12,11,3,16911.3,25900.2,0.15,4,3.08179
-1,-1,38,12,23,4,12509.9,5091.26,0.15,4,25.8711
-1,-1,39,13,10,4,8718.91,4876.51,0.15,4,10.1315
-1,-1,40,13,14,5,10438.4,5127.53,0.15,4,17.8817
-1,-1,41,13,22,4,6963.51,4924.79,0.15,4,6.39835
-1,-1,42,14,9,6,20518,13512,0.15,4,10.7852
-1,-1,43,14,13,5,12653,5127.53,0.15,4,32.8098
-1,-1,44,14,18,3,3.8306e-10,1e-10,0.15,4,99.8897
-1,-1,45,14,21,3,19092.4,9599.18,0.15,4,10.0423
-1,-1,46,15,7,5,9478.49,5045.82,0.15,4,14.3388
-1,-1,47,15,9,4,13111.6,4854.92,0.15,4,35.9192
-1,-1,48,15,16,2,15139.5,5229.91,0.15,4,23.0664
-1,-1,49,15,17,3,19589.9,19679.9,0.15,4,3.44183
-1,-1,50,16,9,8,7339.94,4993.51,0.15,4,13.6018
-1,-1,51,16,15,2,12018.7,5229.91,0.15,4,10.3671
-1,-1,52,16,18,2,12136,4823.95,0.15,4,14.0174
-1,-1,53,17,6,2,16685.4,23403.5,0.15,4,2.07751
-1,-1,54,17,15,3,21811.8,19679.9,0.15,4,3.67903
-1,-1,55,17,19,4,22967.5,23403.5,0.15,4,4.55653
-1,-1,56,18,14,3,16744,14564.8,0.15,4,3.78602
